% ---------------------------------------
% Time: 17:35:42
% Data columns: 
% units: Setopint [-1, 1]; Velocity (m/s; rad/s); VelocityQuality [0, 1] 
% time, [idSensor], setpoint u, setpoint v, setpoint w, setpoint r, velocity[0], velQuality[0], velocity[1], velQuality[1], velocity[2], velQuality[2], velocity[5](rad/s), velQuality[5]
% ---------------------------------------

1093455417.882		0 0 0 0 0.25 1 0.075 1 -1.11427e-08 1 -0.0148059 1

1093455418.075		0 0 0 0 0.25 1 0.075 1 -1.11427e-08 1 -0.0020771 1

1093455418.280		0 0 0 0 0.25 1 0.075 1 -1.11427e-08 1 0.017026 1

1093455418.483		0 0 0 0 -0.246 1 0.419 1 -1.14834e-08 1 0.000257974 1

1093455418.684		0 0 0 0 -0.246 1 0.419 1 -1.14834e-08 1 -0.00234855 1

1093455418.882		0 0 0 0 -0.246 1 0.419 1 -1.14834e-08 1 -0.00614187 1

1093455419.082		0 0 0 0 -0.334 1 0.032 1 -1.11471e-08 1 -0.00251745 1

1093455419.281		0 0 0 0 -0.334 1 0.032 1 -1.11471e-08 1 0.00289546 1

1093455419.483		0 0 0 0 -0.334 1 0.032 1 -1.11471e-08 1 -0.00549765 1

1093455419.704		0 0 0 0 -0.334 1 0.032 1 -1.11471e-08 1 0.00581029 1

1093455419.883		0 0 0 0 0.034 1 -0.19 1 -1.15816e-08 1 0.00555456 1

1093455420.081		0 0 0 0 0.034 1 -0.19 1 -1.15816e-08 1 0.00063589 1

1093455420.281		0 0 0 0 0.034 1 -0.19 1 -1.15816e-08 1 0.00178704 1

1093455420.483		0 0 0 0 0.177 1 -0.087 1 -1.12919e-08 1 0.00988804 1

1093455420.682		0 0 0 0 0.177 1 -0.087 1 -1.12919e-08 1 0.00949044 1

1093455420.882		0 0 0 0 0.177 1 -0.087 1 -1.12919e-08 1 -0.00247758 1

1093455421.083		0 0 0 0 0.069 1 -0.141 1 -1.12302e-08 1 -0.00697089 1

1093455421.281		0 0 0 0 0.069 1 -0.141 1 -1.12302e-08 1 0.00356103 1

1093455421.480		0 0 0 0 0.069 1 -0.141 1 -1.12302e-08 1 -0.00200118 1

1093455421.704		0 0 0 0 0.069 1 -0.141 1 -1.12302e-08 1 -0.000302222 1

1093455421.884		0 0 0 0 0.051 1 -0.263 1 -1.11948e-08 1 -0.00233489 1

1093455422.081		0 0 0 0 0.051 1 -0.263 1 -1.11948e-08 1 -0.00552866 1

1093455422.282		0 0 0 0 0.051 1 -0.263 1 -1.11948e-08 1 0.0123167 1

1093455422.483		0 0 0 0 0.054 1 -0.19 1 -1.13788e-08 1 -0.00610511 1

1093455422.691		0 0 0 0 0.054 1 -0.19 1 -1.13788e-08 1 -0.00722703 1

1093455422.881		0 0 0 0 0.054 1 -0.19 1 -1.13788e-08 1 0.00954245 1

1093455423.078		0 0 0 0 0.033 1 -0.017 1 -1.14298e-08 1 0.00189087 1

1093455423.281		0 0 0 0 0.033 1 -0.017 1 -1.14298e-08 1 -0.00567636 1

1093455423.483		0 0 0 0 0.033 1 -0.017 1 -1.14298e-08 1 -0.00694727 1

1093455423.702		0 0 0 0 0.033 1 -0.017 1 -1.14298e-08 1 -0.00350373 1

1093455423.884		0 0 0 0 -0.102 1 0.118 1 -1.10074e-08 1 0.000500202 1

1093455424.081		0 0 0 0 -0.102 1 0.118 1 -1.10074e-08 1 -0.0149841 1

1093455424.303		0 0 0 0 -0.102 1 0.118 1 -1.10074e-08 1 -0.00413448 1

1093455424.487		0 0 0 0 -0.247 1 0.194 1 -1.15451e-08 1 0.0125159 1

1093455424.690		0 0 0 0 -0.247 1 0.194 1 -1.15451e-08 1 0.000814995 1

1093455424.881		0 0 0 0 -0.247 1 0.194 1 -1.15451e-08 1 -8.42603e-05 1

1093455425.081		0 0 0 0 -0.209 1 0.161 1 -1.1105e-08 1 -0.000469981 1

1093455425.283		0 0 0 0 -0.209 1 0.161 1 -1.1105e-08 1 -0.00450029 1

1093455425.483		0 0 0 0 -0.209 1 0.161 1 -1.1105e-08 1 0.000772234 1

1093455425.697		0 0 0 0 -0.073 1 0.038 1 -1.14373e-08 1 -0.00178464 1

1093455425.885		0 0 0 0 -0.073 1 0.038 1 -1.14373e-08 1 -0.00298239 1

1093455426.083		0 0 0 0 -0.073 1 0.038 1 -1.14373e-08 1 4.05477e-05 1

1093455426.302		0 0 0 0 -0.073 1 0.038 1 -1.14373e-08 1 0.00218935 1

1093455426.466		0 0 0 0 0.092 1 -0.045 1 -1.13318e-08 1 0.00201346 1

1093455426.682		0 0 0 0 0.092 1 -0.045 1 -1.13318e-08 1 0.00888099 1

1093455426.881		0 0 0 0 0.092 1 -0.045 1 -1.13318e-08 1 -0.00238377 1

1093455427.083		0 0 0 0 0.102 1 -0.053 1 -1.12487e-08 1 -0.000402754 1

1093455427.270		0 0 0 0 0.102 1 -0.053 1 -1.12487e-08 1 0.00159595 1

1093455427.483		0 0 0 0 0.102 1 -0.053 1 -1.12487e-08 1 0.0105798 1

1093455427.683		0 0 0 0 0.006 1 -0.172 1 -1.13606e-08 1 0.0010485 1

1093455427.885		0 0 0 0 0.006 1 -0.172 1 -1.13606e-08 1 -0.00727657 1

1093455428.083		0 0 0 0 0.006 1 -0.172 1 -1.13606e-08 1 -0.000300144 1

1093455428.292		0 0 0 0 0.006 1 -0.172 1 -1.13606e-08 1 0.0157163 1

1093455428.483		0 0 0 0 -0.005 1 0.037 1 -1.11484e-08 1 0.00419602 1

1093455428.690		0 0 0 0 -0.005 1 0.037 1 -1.11484e-08 1 0.00934485 1

1093455428.884		0 0 0 0 -0.005 1 0.037 1 -1.11484e-08 1 -0.00580322 1

1093455429.082		0 0 0 0 -0.049 1 -0.107 1 -1.14971e-08 1 -0.00474476 1

1093455429.281		0 0 0 0 -0.049 1 -0.107 1 -1.14971e-08 1 -0.000264478 1

1093455429.490		0 0 0 0 -0.049 1 -0.107 1 -1.14971e-08 1 0.000482666 1

1093455429.683		0 0 0 0 -0.041 1 -0.062 1 -1.13515e-08 1 -0.00139261 1

1093455429.879		0 0 0 0 -0.041 1 -0.062 1 -1.13515e-08 1 0.00905333 1

